Site,Month,Year,Dead
High,Jan,2015,0
Mid,Jan,2015,0
Low,Jan,2015,0
High,Feb,2015,0
Mid,Feb,2015,0
Low,Feb,2015,0
High,Mar,2015,0
Mid,Mar,2015,0
Low,Mar,2015,0
High,Apr,2015,0
Mid,Apr,2015,0
Low,Apr,2015,0
High,May,2015,1
Mid,May,2015,0
Low,May,2015,1
High,June,2015,1
Mid,June,2015,0
Low,June,2015,2
High,July,2015,1
Mid,July,2015,0
Low,July,2015,2
High,Aug,2015,2
Mid,Aug,2015,0
Low,Aug,2015,2
High,Sep,2015,2
Mid,Sep,2015,0
Low,Sep,2015,2
High,Oct,2015,2
Mid,Oct,2015,1
Low,Oct,2015,2
High,Nov,2015,2
Mid,Nov,2015,1
Low,Nov,2015,2
High,Dec,2015,2
Mid,Dec,2015,1
Low,Dec,2015,2
High,Jan,2016,2
Mid,Jan,2016,1
Low,Jan,2016,2
High,Feb,2016,2
Mid,Feb,2016,1
Low,Feb,2016,2
High,Mar,2016,2
Mid,Mar,2016,1
Low,Mar,2016,2
High,Apr,2016,2
Mid,Apr,2016,1
Low,Apr,2016,2
High,May,2016,2
Mid,May,2016,1
Low,May,2016,2
High,June,2016,3
Mid,June,2016,1
Low,June,2016,2
High,July,2016,4
Mid,July,2016,1
Low,July,2016,2
High,Aug,2016,5
Mid,Aug,2016,1
Low,Aug,2016,2
High,Sep,2016,5
Mid,Sep,2016,2
Low,Sep,2016,2
High,Oct,2016,5
Mid,Oct,2016,2
Low,Oct,2016,2
High,Nov,2016,5
Mid,Nov,2016,2
Low,Nov,2016,2
High,Dec,2016,5
Mid,Dec,2016,2
Low,Dec,2016,2
High,Jan,2017,5
Mid,Jan,2017,2
Low,Jan,2017,2
High,Feb,2017,5
Mid,Feb,2017,2
Low,Feb,2017,2
High,Mar,2017,5
Mid,Mar,2017,2
Low,Mar,2017,2
High,Apr,2017,5
Mid,Apr,2017,2
Low,Apr,2017,2
High,May,2017,6
Mid,May,2017,3
Low,May,2017,2
High,June,2017,6
Mid,June,2017,3
Low,June,2017,2
High,July,2017,7
Mid,July,2017,3
Low,July,2017,2
High,Aug,2017,7
Mid,Aug,2017,3
Low,Aug,2017,2
High,Sep,2017,7
Mid,Sep,2017,3
Low,Sep,2017,2
High,Oct,2017,7
Mid,Oct,2017,3
Low,Oct,2017,2
High,Nov,2017,7
Mid,Nov,2017,3
Low,Nov,2017,2
High,Dec,2017,7
Mid,Dec,2017,3
Low,Dec,2017,2
High,Jan,2018,7
Mid,Jan,2018,3
Low,Jan,2018,2
High,Feb,2018,7
Mid,Feb,2018,3
Low,Feb,2018,2
High,Mar,2018,7
Mid,Mar,2018,3
Low,Mar,2018,2
High,Apr,2018,7
Mid,Apr,2018,3
Low,Apr,2018,2
High,May,2018,7
Mid,May,2018,3
Low,May,2018,2
High,June,2018,9
Mid,June,2018,3
Low,June,2018,2
High,July,2018,10
Mid,July,2018,3
Low,July,2018,2
High,Aug,2018,10
Mid,Aug,2018,3
Low,Aug,2018,2
High,Sep,2018,10
Mid,Sep,2018,5
Low,Sep,2018,2
High,Oct,2018,10
Mid,Oct,2018,5
Low,Oct,2018,2
High,Nov,2018,10
Mid,Nov,2018,5
Low,Nov,2018,2
High,Dec,2018,10
Mid,Dec,2018,5
Low,Dec,2018,2
High,Jan,2019,10
Mid,Jan,2019,5
Low,Jan,2019,2
High,Feb,2019,10
Mid,Feb,2019,5
Low,Feb,2019,2
High,Mar,2019,10
Mid,Mar,2019,5
Low,Mar,2019,2
High,Apr,2019,10
Mid,Apr,2019,5
Low,Apr,2019,2
High,May,2019,10
Mid,May,2019,7
Low,May,2019,2
High,June,2019,10
Mid,June,2019,7
Low,June,2019,2
High,July,2019,10
Mid,July,2019,8
Low,July,2019,2
High,Aug,2019,10
Mid,Aug,2019,8
Low,Aug,2019,2
High,Sep,2019,10
Mid,Sep,2019,8
Low,Sep,2019,2
High,Oct,2019,10
Mid,Oct,2019,8
Low,Oct,2019,2
High,Nov,2019,10
Mid,Nov,2019,8
Low,Nov,2019,2
High,Dec,2019,10
Mid,Dec,2019,8
Low,Dec,2019,2
